Designator,Mid X,Mid Y,Rotation,Layer
C1,61.88,-80.15,0.0,top
C2,53.65,-88.2,180.0,top
C3,64.1,-95.6,180.0,top
C4,62.24,-92.07,270.0,top
C5,58.5,-71.6,0.0,top
C6,61.42,-71.6,180.0,top
C7,58.575,-87.1,0.0,top
C8,62.1,-88.35,0.0,top
D1,59.25,-93.05,90.0,top
D2,54.5,-80.9,0.0,top
D3,54.5,-83.75,0.0,top
J1,48.26,-50.8,0.0,bottom
J2,71.12,-50.8,0.0,bottom
L1,53.7,-93.3,0.0,top
R1,67.5,-88.1,180.0,top
R10,59.6,-81.85,180.0,top
R11,59.59,-83.2,180.0,top
R12,68.25,-95.7,180.0,top
R2,67.91,-80.15,0.0,top
R3,68.2,-90.75,180.0,top
R4,68.25,-93.15,0.0,top
R5,51.85,-71.6,0.0,top
R6,68.0,-71.6,0.0,top
R7,57.2,-80.9,180.0,top
R8,57.2,-83.75,180.0,top
R9,65.76,-79.95,0.0,top
SW1,55.17,-75.44,0.0,top
SW2,64.8,-75.44,0.0,top
U2,59.665,-59.08,0.0,top
U3,64.95,-92.15,180.0,top
U4,64.95,-83.75,270.0,top
USB1,64.8,-100.73,0.0,top
USB2,54.6,-100.73,0.0,top
